# generated_at: 2026-04-25T12:39:21Z
# git_commit: 24f0948
# command: target/release/examples/cardiac_stress_sweep --seed 42 --beats-per-class 20 --write
# dataset_type: synthetic
# dataset_name: uc01_synth_v0.2_seed42_bpc20
# synthetic_generator_version: 0.2.0
# seed: 42
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Synthetic ECG only — no real-patient validation yet. | Frequency-encoded inputs; not a clinical waveform analyser. | Rate-regime triage only; no morphology, no AF, no VT, no ST analysis. | Not a medical device. Research / embedded prototype only.
dimension,parameter,value,total,correct,accuracy,macro_f1,weighted_f1,balanced_accuracy,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular,precision_Normal,precision_Tachy,precision_Brady,precision_Irregular
baseline,clean,0,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
missing_qrs,drop_prob,0,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
missing_qrs,drop_prob,0.05,69,55,0.797101,0.805000,0.799627,0.800654,1.000000,0.555556,0.647059,1.000000,1.000000,1.000000,1.000000,0.562500
missing_qrs,drop_prob,0.1,62,30,0.483871,0.418861,0.421968,0.466667,0.666667,0.066667,0.133333,1.000000,1.000000,1.000000,1.000000,0.346939
missing_qrs,drop_prob,0.2,49,17,0.346939,0.253736,0.263453,0.317370,0.250000,0.090909,0.000000,0.928571,1.000000,1.000000,0.000000,0.295455
missing_qrs,drop_prob,0.4,38,11,0.289474,0.239212,0.237879,0.316477,0.300000,0.000000,0.090909,0.875000,1.000000,0.000000,0.500000,0.212121
