# generated_at: 2026-04-25T12:39:14Z
# git_commit: 24f0948
# command: target/release/examples/cardiac_mitbih_baselines --records-dir /tmp/mitbih_ds2 --aami-split ds2 --ground-truth hybrid --write
# dataset_type: mitbih_csv
# dataset_name: uc01_mitbih_baselines_DS2_22records
# synthetic_generator_version: 0.2.0
# seed: 0
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Real MIT-BIH records (PhysioNet, ODC-By v1.0). | Rate-regime triage only; ground truth from annotation RR intervals via 5-beat sliding window (mitbih::rate_regime_truth). | Three systems compared on the same emissions: CricketBrain, ThresholdBurstBaseline, FrequencyRuleBaseline. | AAMI EC57:2012 record set: DS2. CricketBrain has no training phase, so DS1/DS2 are used purely as canonical record lists. | Not a medical device. Research / embedded pre-screening prototype only.
record_id,system,total,correct,accuracy,macro_f1,weighted_f1,balanced_accuracy,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular,precision_Normal,precision_Tachy,precision_Brady,precision_Irregular
212,FrequencyRule,831,5,0.006017,0.005981,0.000072,0.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.006017,0.000000,0.000000
213,CricketBrain,3140,2864,0.912102,0.647879,0.938524,0.941803,0.000000,0.910633,0.000000,0.972973,0.000000,0.999284,0.000000,0.208092
213,ThresholdBurst-rule,3139,2879,0.917171,0.652884,0.941487,0.931211,0.000000,0.916476,0.000000,0.945946,0.000000,0.998578,0.000000,0.214724
213,FrequencyRule,1355,1343,0.991144,0.497776,0.986736,0.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.991144,0.000000,0.000000
214,CricketBrain,1819,988,0.543156,0.346063,0.592340,0.485602,0.456806,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.258698
214,ThresholdBurst-rule,1818,990,0.544554,0.346860,0.593733,0.486138,0.458415,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.259392
214,FrequencyRule,252,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
219,CricketBrain,2044,1263,0.617906,0.279279,0.680429,0.338625,0.337500,0.000000,0.000000,0.678375,0.044046,0.000000,0.000000,0.863732
219,ThresholdBurst-rule,2044,1262,0.617417,0.279948,0.680057,0.342426,0.350000,0.000000,0.000000,0.677278,0.045455,0.000000,0.000000,0.864146
219,FrequencyRule,402,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
221,CricketBrain,2407,2285,0.949314,0.486999,0.973594,0.474855,0.000000,0.000000,0.000000,0.949709,0.000000,0.000000,0.000000,0.999563
221,ThresholdBurst-rule,2407,2285,0.949314,0.486999,0.973594,0.474855,0.000000,0.000000,0.000000,0.949709,0.000000,0.000000,0.000000,0.999563
221,FrequencyRule,660,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
222,CricketBrain,2177,1820,0.836013,0.449652,0.814645,0.456500,0.882022,0.000000,0.005682,0.938294,0.993671,0.000000,1.000000,0.781557
222,ThresholdBurst-rule,2176,1815,0.834099,0.454768,0.815475,0.458018,0.883146,0.000000,0.017045,0.931880,0.993679,0.000000,1.000000,0.782012
222,FrequencyRule,512,1,0.001953,0.000975,0.000008,0.250000,0.000000,1.000000,0.000000,0.000000,0.000000,0.001953,0.000000,0.000000
228,CricketBrain,1777,944,0.531232,0.427969,0.541975,0.572136,0.383073,0.000000,0.333333,1.000000,0.996139,0.000000,0.166667,0.340782
228,ThresholdBurst-rule,1776,950,0.534910,0.356509,0.546277,0.462853,0.388559,0.000000,0.000000,1.000000,0.994297,0.000000,0.000000,0.342972
228,FrequencyRule,213,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
231,CricketBrain,1444,987,0.683518,0.451729,0.580198,0.536833,0.966667,0.000000,0.634146,0.009685,0.707840,0.000000,0.440678,0.121212
231,ThresholdBurst-rule,1443,1004,0.695773,0.502418,0.590282,0.605703,0.975733,0.000000,0.829268,0.012107,0.713757,0.000000,0.548387,0.172414
231,FrequencyRule,54,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
232,CricketBrain,1741,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
232,ThresholdBurst-rule,1741,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
232,FrequencyRule,387,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
233,CricketBrain,1406,405,0.288051,0.206364,0.276825,0.392060,0.021277,0.164035,0.000000,0.990868,0.066667,0.989418,0.000000,0.180532
233,ThresholdBurst-rule,1406,406,0.288762,0.217116,0.277903,0.399152,0.042553,0.164035,0.000000,0.990868,0.133333,0.989418,0.000000,0.180532
233,FrequencyRule,424,367,0.865566,0.309313,0.803193,0.333333,0.000000,1.000000,0.000000,0.000000,0.000000,0.865566,0.000000,0.000000
234,CricketBrain,2723,2664,0.978333,0.620210,0.985754,0.867974,0.985741,0.618182,0.000000,1.000000,0.996964,1.000000,0.000000,0.055556
234,ThresholdBurst-rule,2722,2667,0.979794,0.623110,0.986502,0.868473,0.987237,0.618182,0.000000,1.000000,0.996967,1.000000,0.000000,0.060000
234,FrequencyRule,928,20,0.021552,0.021097,0.000909,0.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.021552,0.000000,0.000000
# pooled across 22 record(s)
__pooled__,CricketBrain,44936,35246,0.784360,0.779280,0.791434,0.751543,0.836802,0.692639,0.696089,0.780645,0.874515,0.906074,0.980093,0.575773
__pooled__,ThresholdBurst-rule,44920,35372,0.787444,0.782686,0.794455,0.755131,0.840760,0.698913,0.701256,0.779597,0.876133,0.905755,0.985144,0.578793
__pooled__,FrequencyRule,9573,1743,0.182075,0.077015,0.056090,0.250000,0.000000,1.000000,0.000000,0.000000,0.000000,0.182075,0.000000,0.000000
