# generated_at: 2026-04-25T09:56:19Z
# git_commit: 4fdcfe7
# command: target/release/examples/cardiac_stress_sweep --seed 42 --beats-per-class 20 --write
# dataset_type: synthetic
# dataset_name: uc01_synth_v0.2_seed42_bpc20
# synthetic_generator_version: 0.2.0
# seed: 42
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Synthetic ECG only — no real-patient validation yet. | Frequency-encoded inputs; not a clinical waveform analyser. | Rate-regime triage only; no morphology, no AF, no VT, no ST analysis. | Not a medical device. Research / embedded prototype only.
dimension,parameter,value,total,correct,accuracy,macro_f1,weighted_f1,balanced_accuracy,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular,precision_Normal,precision_Tachy,precision_Brady,precision_Irregular
baseline,clean,0,70,51,0.728571,0.729134,0.728704,0.736111,1.000000,0.777778,0.722222,0.444444,0.592593,1.000000,0.928571,0.533333
hrv,rr_jitter,0,70,51,0.728571,0.729134,0.728704,0.736111,1.000000,0.777778,0.722222,0.444444,0.592593,1.000000,0.928571,0.533333
hrv,rr_jitter,0.02,70,52,0.742857,0.750703,0.749295,0.750000,1.000000,0.666667,0.722222,0.611111,0.666667,1.000000,1.000000,0.523810
hrv,rr_jitter,0.05,70,54,0.771429,0.778740,0.776930,0.777778,1.000000,0.666667,0.722222,0.722222,0.727273,1.000000,1.000000,0.565217
hrv,rr_jitter,0.1,70,55,0.785714,0.792560,0.790494,0.791667,1.000000,0.666667,0.722222,0.777778,0.761905,1.000000,1.000000,0.583333
hrv,rr_jitter,0.2,70,55,0.785714,0.792560,0.790494,0.791667,1.000000,0.666667,0.722222,0.777778,0.761905,1.000000,1.000000,0.583333
hrv,rr_jitter,0.35,70,58,0.828571,0.833860,0.830794,0.833333,1.000000,0.666667,0.722222,0.944444,0.888889,1.000000,1.000000,0.629630
